"[0.01123952865600586, 0.0009293556213378906]"
"[0.010638236999511719, 0.0008003711700439453]"
"[0.01051950454711914, 0.0006823539733886719]"
"[0.01979827880859375, 0.001367807388305664]"
"[0.010307788848876953, 0.0007367134094238281]"
"[0.011912345886230469, 0.0007178783416748047]"
"[0.0113677978515625, 0.0009355545043945312]"
"[0.010393381118774414, 0.002198457717895508]"
"[0.01163482666015625, 0.0008611679077148438]"
"[0.010821104049682617, 0.0009496212005615234]"
"[0.011999845504760742, 0.0013592243194580078]"
"[0.010622501373291016, 0.0008554458618164062]"
"[0.010509490966796875, 0.0012853145599365234]"
"[0.011385917663574219, 0.0019290447235107422]"
"[0.01163935661315918, 0.0009548664093017578]"
"[0.010601520538330078, 0.0024497509002685547]"
"[0.01256704330444336, 0.0009903907775878906]"
"[0.010433435440063477, 0.0008096694946289062]"
"[0.010356664657592773, 0.0008759498596191406]"
"[0.01133418083190918, 0.0007574558258056641]"
"[0.010841846466064453, 0.0010924339294433594]"
"[0.01008462905883789, 0.0008258819580078125]"
"[0.011547088623046875, 0.0014820098876953125]"
"[0.011789083480834961, 0.0008592605590820312]"
"[0.010001182556152344, 0.0006937980651855469]"
"[0.010204792022705078, 0.0009562969207763672]"
"[0.010355472564697266, 0.0010559558868408203]"
"[0.010192155838012695, 0.0007326602935791016]"
"[0.010269403457641602, 0.0006573200225830078]"
"[0.010641336441040039, 0.0008327960968017578]"
"[0.011790990829467773, 0.0009012222290039062]"
"[0.010643959045410156, 0.0009255409240722656]"
"[0.011360645294189453, 0.0010285377502441406]"
"[0.010529279708862305, 0.0007135868072509766]"
"[0.01150059700012207, 0.0013458728790283203]"
"[0.010257959365844727, 0.0022165775299072266]"
"[0.011459827423095703, 0.001737356185913086]"
"[0.010279417037963867, 0.0008411407470703125]"
"[0.01247096061706543, 0.0014445781707763672]"
"[0.01089930534362793, 0.0007746219635009766]"
"[0.01102137565612793, 0.0016102790832519531]"
"[0.010814666748046875, 0.002406597137451172]"
"[0.011373281478881836, 0.0012853145599365234]"
"[0.010574579238891602, 0.0007867813110351562]"
"[0.010255098342895508, 0.000926971435546875]"
"[0.011936426162719727, 0.0013039112091064453]"
"[0.009889841079711914, 0.0006806850433349609]"
"[0.010430335998535156, 0.0015759468078613281]"
"[0.010110139846801758, 0.0009865760803222656]"
"[0.010543107986450195, 0.0007290840148925781]"
"[0.010196685791015625, 0.0008602142333984375]"
"[0.011675119400024414, 0.002450704574584961]"
"[0.011494159698486328, 0.0012238025665283203]"
"[0.01416921615600586, 0.0069963932037353516]"
"[0.013404369354248047, 0.001306295394897461]"
"[0.014876365661621094, 0.0026504993438720703]"
"[0.01404261589050293, 0.0032558441162109375]"
"[0.01645350456237793, 0.0015552043914794922]"
"[0.01379537582397461, 0.0014591217041015625]"
"[0.016171693801879883, 0.0012552738189697266]"
"[0.015283823013305664, 0.002231121063232422]"
"[0.014516592025756836, 0.0014603137969970703]"
"[0.01504659652709961, 0.000865936279296875]"
"[0.012447357177734375, 0.0021674633026123047]"
"[0.011341094970703125, 0.0008525848388671875]"
"[0.010315179824829102, 0.0014238357543945312]"
"[0.01027989387512207, 0.0008587837219238281]"
"[0.010728836059570312, 0.0007839202880859375]"
"[0.011427640914916992, 0.0019161701202392578]"
"[0.01034688949584961, 0.0009801387786865234]"
"[0.0118865966796875, 0.0016245841979980469]"
"[0.010189294815063477, 0.0008368492126464844]"
"[0.010113954544067383, 0.0007796287536621094]"
"[0.01432180404663086, 0.0012738704681396484]"
"[0.012999773025512695, 0.0010037422180175781]"
"[0.012008190155029297, 0.0009071826934814453]"
"[0.010639190673828125, 0.0007109642028808594]"
"[0.011123418807983398, 0.0010268688201904297]"
"[0.012713909149169922, 0.0012714862823486328]"
"[0.010050058364868164, 0.0007483959197998047]"
"[0.01029515266418457, 0.0006711483001708984]"
